start_lat,start_lng,end_lat,end_lng,distance_meters,slope_percent,has_stairs,surface,is_closed
47.654002,-122.310506,47.654165,-122.310508,18,1.5,false,paved,false
47.654165,-122.310508,47.654191,-122.310474,4,1.5,false,paved,false
47.654191,-122.310474,47.654257,-122.310473,7,1.5,false,paved,false
47.654257,-122.310473,47.654314,-122.310469,6,1.5,false,paved,false
47.654314,-122.310469,47.654485,-122.310465,19,1.5,false,paved,false
47.654485,-122.310465,47.654694,-122.310459,23,1.5,false,paved,false
47.654694,-122.310459,47.654838,-122.310462,16,1.5,false,paved,false
47.654838,-122.310462,47.654876,-122.310474,4,1.5,false,paved,false
47.654876,-122.310474,47.654901,-122.310495,3,1.5,false,paved,false
47.654901,-122.310495,47.654911,-122.31051,2,1.5,false,paved,false
47.652079,-122.30686,47.65216,-122.306931,10,1.5,false,paved,false
47.650936,-122.306057,47.652083,-122.306838,140,1.5,false,paved,false
47.650869,-122.305998,47.650936,-122.306057,9,1.5,false,paved,false
47.650781,-122.305882,47.650869,-122.305998,13,1.5,false,paved,false
47.650747,-122.30577,47.650781,-122.305882,9,1.5,false,paved,false
47.650723,-122.305654,47.650747,-122.30577,9,1.5,false,paved,false
47.650723,-122.305654,47.6508,-122.305608,9,1.5,false,paved,false
47.6508,-122.305608,47.650906,-122.305584,12,1.5,false,paved,false
47.650906,-122.305584,47.650975,-122.305605,8,1.5,false,paved,false
47.650975,-122.305605,47.651073,-122.305656,12,1.5,false,paved,false
47.651073,-122.305656,47.651198,-122.305747,15,1.5,false,paved,false
47.651198,-122.305747,47.652204,-122.306447,124,1.5,false,paved,false
47.650632,-122.305597,47.650724,-122.305658,11,1.5,false,paved,false
47.650574,-122.305629,47.650632,-122.305597,7,1.5,false,paved,false
47.650508,-122.305658,47.650574,-122.305629,8,1.5,false,paved,false
47.650458,-122.305671,47.650508,-122.305658,6,1.5,false,paved,false
47.650399,-122.305657,47.650458,-122.305671,7,1.5,false,paved,false
47.650319,-122.305617,47.650399,-122.305657,9,1.5,false,paved,false
47.650234,-122.305557,47.650319,-122.305617,10,1.5,false,paved,false
47.649786,-122.305238,47.650234,-122.305557,55,1.5,false,paved,false
47.649768,-122.305224,47.649786,-122.305238,2,1.5,false,paved,false
47.649768,-122.305224,47.649898,-122.304833,33,1.5,false,paved,false
47.649898,-122.304833,47.65046,-122.305222,69,1.5,false,paved,false
47.65046,-122.305222,47.650525,-122.30529,9,1.5,false,paved,false
47.650525,-122.30529,47.650561,-122.30535,6,1.5,false,paved,false
47.650561,-122.30535,47.650608,-122.305473,11,1.5,false,paved,false
47.650608,-122.305473,47.650625,-122.305541,5,1.5,false,paved,false
47.650625,-122.305541,47.650632,-122.305599,4,1.5,false,paved,false
47.65063,-122.304416,47.650636,-122.304553,10,1.5,false,paved,false
47.650617,-122.30467,47.650636,-122.304553,9,1.5,false,paved,false
47.650588,-122.304765,47.650617,-122.30467,8,1.5,false,paved,false
47.650504,-122.304957,47.650588,-122.304765,17,1.5,false,paved,false
47.650426,-122.305128,47.650504,-122.304957,15,1.5,false,paved,false
47.650407,-122.305179,47.650426,-122.305128,4,1.5,false,paved,false
47.650595,-122.304498,47.65063,-122.304414,7,1.5,false,paved,false
47.650531,-122.304692,47.650595,-122.304498,16,1.5,false,paved,false
47.650335,-122.305134,47.650531,-122.304692,40,1.5,false,paved,false
47.65019,-122.305785,47.650377,-122.305171,50,1.5,false,paved,false
47.650108,-122.305964,47.65019,-122.305785,16,1.5,false,paved,false
47.650059,-122.306043,47.650108,-122.305964,8,1.5,false,paved,false
47.650039,-122.306078,47.650059,-122.306043,3,1.5,false,paved,false
47.650039,-122.306078,47.650082,-122.306163,8,1.5,false,paved,false
47.650067,-122.30618,47.650082,-122.306163,2,1.5,false,paved,false
47.649928,-122.305903,47.650067,-122.30618,26,1.5,false,paved,false
47.649897,-122.305944,47.649928,-122.305903,5,1.5,false,paved,false
47.649897,-122.305944,47.649936,-122.306022,7,1.5,false,paved,false
47.649916,-122.306043,47.649936,-122.306022,3,1.5,false,paved,false
47.651031,-122.306122,47.651154,-122.305716,33,1.5,false,paved,false
47.651629,-122.306523,47.651753,-122.306136,32,1.5,false,paved,false
47.651871,-122.305862,47.651927,-122.305758,10,1.5,false,paved,false
47.65189,-122.305707,47.651925,-122.305759,6,1.5,false,paved,false
47.651842,-122.305593,47.65189,-122.305707,10,1.5,false,paved,false
47.651791,-122.305467,47.651842,-122.305593,11,1.5,false,paved,false
47.651752,-122.305352,47.651791,-122.305467,10,1.5,false,paved,false
47.662547,-122.302475,47.66312,-122.302692,66,1.5,false,paved,false
47.66217,-122.302333,47.662547,-122.302475,43,1.5,false,paved,false
47.661919,-122.302226,47.66217,-122.302333,29,1.5,false,paved,false
47.661325,-122.302067,47.661919,-122.302226,67,1.5,false,paved,false
47.661196,-122.30204,47.661323,-122.302067,14,1.5,false,paved,false
47.66106,-122.302011,47.661198,-122.302041,16,1.5,false,paved,false
47.660908,-122.301974,47.66106,-122.302011,17,1.5,false,paved,false
47.660735,-122.301931,47.660908,-122.301974,20,1.5,false,paved,false
47.660636,-122.301903,47.660735,-122.301931,11,1.5,false,paved,false
47.66055,-122.301875,47.660636,-122.301903,10,1.5,false,paved,false
47.660447,-122.301861,47.66055,-122.301875,12,1.5,false,paved,false
47.660251,-122.301837,47.660447,-122.301861,22,1.5,false,paved,false
47.660057,-122.301811,47.660251,-122.301837,22,1.5,false,paved,false
47.659687,-122.301776,47.660057,-122.301811,41,1.5,false,paved,false
47.659556,-122.301764,47.659687,-122.301776,15,1.5,false,paved,false
47.659354,-122.301764,47.659556,-122.301764,22,1.5,false,paved,false
47.658681,-122.301807,47.659354,-122.301764,75,1.5,false,paved,false
47.658436,-122.301833,47.658681,-122.301807,27,1.5,false,paved,false
47.657995,-122.30189,47.658436,-122.301833,49,1.5,false,paved,false
47.657595,-122.301971,47.657995,-122.30189,45,1.5,false,paved,false
47.657288,-122.302054,47.657595,-122.301971,35,1.5,false,paved,false
47.656927,-122.302153,47.657288,-122.302054,41,1.5,false,paved,false
47.656151,-122.302397,47.656927,-122.302153,88,1.5,false,paved,false
47.655726,-122.302529,47.656151,-122.302397,48,1.5,false,paved,false
47.655376,-122.302643,47.655726,-122.302529,40,1.5,false,paved,false
47.65502,-122.302749,47.655376,-122.302643,40,1.5,false,paved,false
47.654747,-122.302836,47.65502,-122.302749,31,1.5,false,paved,false
47.654542,-122.302905,47.654747,-122.302836,23,1.5,false,paved,false
47.654292,-122.302975,47.654542,-122.302905,28,1.5,false,paved,false
47.654066,-122.303037,47.654292,-122.302975,26,1.5,false,paved,false
47.653736,-122.303124,47.654066,-122.303037,37,1.5,false,paved,false
47.653349,-122.30324,47.653736,-122.303124,44,1.5,false,paved,false
47.653114,-122.303306,47.653349,-122.30324,27,1.5,false,paved,false
47.652827,-122.303377,47.653114,-122.303306,32,1.5,false,paved,false
47.652593,-122.303448,47.652827,-122.303377,27,1.5,false,paved,false
47.652315,-122.303545,47.652593,-122.303448,32,1.5,false,paved,false
47.652089,-122.303641,47.652315,-122.303545,26,1.5,false,paved,false
47.651931,-122.303745,47.652089,-122.303641,19,1.5,false,paved,false
47.65154,-122.304128,47.651931,-122.303745,52,1.5,false,paved,false
47.651433,-122.304272,47.65154,-122.304128,16,1.5,false,paved,false
